text_hash,representative_row_id,removed_row_id,label,label_name,title_clean
03174bdc5cdfb38c7c77e27742644951f8861028d1382b95f8e6723ae30b3103,train_004950,train_005852,3,Sci/Tech,Brazil tribe prove words count
0a6850cd150de7be3cfcfbf89f327e3da3b7c01ab0d302afd8f582a42de62b96,train_013157,train_013479,3,Sci/Tech,Duke Welcomes Freshmen With New iPods (AP)
0c2c3bfa25dae3130a6ad7bd248a077f060a2249c040e6a4878b4641b3443829,train_004630,train_004665,2,Business,"Nikkei Ends Flat, Oil Concerns Weigh"
0cc10920193b32e378af83f0954734e6d9eeb5474c3fbb542e76a78fded163e9,train_101029,train_103592,3,Sci/Tech,Product Review: MSN's WebTV Grows Up (AP)
0f25cdb0b8ee219fb25d319bdf60ea6882a4da4a3362f3eaedd9b05c210bd53f,train_059911,train_060107,3,Sci/Tech,Smaller Can Be Better (Except When It's Not)
0fbf32543b445b377f3cded0f35c00168ef8008b69ba99b4fa5390a3518a0068,train_058499,train_058574,1,Sports,Larkin Won't Be Coming Back to Reds
12f2912ca39901beff531e78e1dbb7607681a2b12bd8a07767884d82d17273cd,train_001592,train_001617,1,Sports,Medical Examiner Finds No Injuries on Thanou-Source
143e12aa01012a9235692053038fa8cccda3c92b1746dcb46ebe3e092d50984b,train_071912,train_072254,3,Sci/Tech,New Crop of Portable Players Nips at iPod (AP)
14a2e97b871c657a2ceaf619b9e8d0d96852edec9bd9de7524010d550aa7197a,train_107416,train_107522,2,Business,3 Former Kmart Execs Charged with Fraud
16256a486e8c03382d9c480370be9735e2d62c384e7fb9ff0ec14290e1773b06,train_088557,train_089666,3,Sci/Tech,"Vote Fraud Theories, Spread by Blogs, Are Quickly Buried"
1711b59884dce0889c8e22ad0de85bf77fbe577c3e9205cdb3424144817c1c18,train_094093,train_094646,3,Sci/Tech,eBay Agrees to Limit Racial Slurs on Auction Site (Reuters)
1870429e0138732299d3b91dbc9d93a0e468936fa81ae61955ff6f4325a873f9,train_118633,train_118641,3,Sci/Tech,NASA spacecraft tracks global air pollution
19ab0e8a41d9348a523bc658dad00df8e87b628d31dccaae08e56e7506a74b9e,train_087838,train_087898,2,Business,Blockbuster Offers to Buy Hollywood Chain
1c9d2f63085fe4652fe7396cdf2dbcc405a3980552ee599b4132883bf3260d5a,train_104793,train_104811,1,Sports,"College Basketball: Kansas, Oklahoma State Win"
1e0da4cc0653b628fa9e98a57c720afcc10c299fc2244aa6354b1ed12198462a,train_023572,train_023728,3,Sci/Tech,Tech Firms Announce Video Anti-Piracy Technology
220705c94753afc8c1fb2f969201113df3c1e5cd2a8dcdbf2934a64dc844bc4a,train_002064,train_002071,3,Sci/Tech,Netscape browser update released
235d4403660fc04d0acaca4dd3f037d2d8fc22dbb52fd390da82ca3595048c88,train_005322,train_005423,3,Sci/Tech,'Doom 3' Game Unlikely for Xbox This Year - id CEO
23b74b0489e794185a56e728a8f725c31f4c00500469ca7bac2b12e3834eb260,train_062805,train_062902,1,Sports,Relentless Els Seals Record Sixth Match Play Title
251422386ceab64ce9021d0869b21b9a9deb38312b46171e2a41bd958245bcb1,train_054284,train_054351,3,Sci/Tech,IBM Chief Sees Global Tech Spending Rise
251bb2681ddcac63e36ff65cbfdef62e1ff7d38691f03a05804220b2467323a6,train_011717,train_013333,2,Business,Fleet's turn
2670a2979b6ef8afdfffedb68d395dfa948e5534a9a5697ee4d3a3053a911974,train_044841,train_044947,2,Business,Justice Dept. Opens Fannie Criminal Probe
2900112f0ee4198045c1e90f47bb723d88a5730b5f85c31b601d21b0c3792689,train_045692,train_045744,3,Sci/Tech,AT amp;T cuts Internet phone service prices
295fe39c777ff67e0381e5c4d498d12df3b1062a402aefa30c97859744ca0e17,train_001745,train_001751,3,Sci/Tech,IBM adds four-way 550 server to new i5 product line
2a6e223b5b051be2824e5da1d7941e480c366c17ccec4d18cccd0e61bdfb6b91,train_058807,train_069381,3,Sci/Tech,Biotech Bug Busters Try to Save Venezuela Art Works (Reuters)
2ded064dfc7d1aa281593fec6f09f398f665a8053a5a8609200006c8f74c9b4f,train_005027,train_007824,3,Sci/Tech,Flaws and a Delay for XP SP2
2ebc9b5b97f4db2d67abc12be4da8db16a928aa9ebeadabe32cd3945e4df7541,train_004853,train_006518,3,Sci/Tech,Stumbling over SP2
2ee1c4f9f127d94f3386316310eef35ce6d2b5d377daa4435a11fb97b24c6f32,train_079471,train_079605,3,Sci/Tech,Study: Firefox still gaining on Internet Explorer
2f157f275f3dd6e97216feaeee9445c0b6bf5d422f515563b2442a9e38605568,train_034919,train_035164,3,Sci/Tech,Revamped EMusic Targets Indie Market (AP)
2fe62baa75b77e21c63b813994bbd3ea9a03c23262ca8940d932941d4a62b045,train_072062,train_072109,3,Sci/Tech,"John Deere, iRobot Team Up to Make Robot (AP)"
303c3399e9838078914f021cc9c78e6208e2754383e1b001d0d4261e3219db81,train_004390,train_004405,1,Sports,"NL Wrap: Maddux, Sosa Help Cubs Beat Brewers"
305a27a2e3f3c8200998864c8fbf35ce21760e339ec1cc01b359193530466a8f,train_074965,train_075196,3,Sci/Tech,Review: a Flat Panel That's Also Deep (AP)
317335ca400e430ac6c2bf0f8d5038d56bbf72c6ddc93cb0d321e844567b490c,train_003808,train_004216,3,Sci/Tech,"Sony Unveils New Flat TVs, Aims to Boost Share"
32494d7091f3822a7a9c95d1261f0ea3df483b3253ae1d2d8ce34dcace985298,train_074272,train_074325,1,Sports,Eagles' Westbrook Could Miss Some Time
32586f2bcfb65d4ba49ec2c0a41bdc5612d55be48518195c8bab428502849264,train_114063,train_114277,1,Sports,Jaguars get jump on Bears
32fe3e1a0461d66a93d3a44f91b3ed829d09eaaee3498d9b5e13a0e6d88e4d7e,train_005066,train_005102,1,Sports,Scalpers Sell Athens Tickets at Face Value
34a78285c669184bb8c9fb7db3d14190256ec13e86bfb398cb759e5302955c63,train_004532,train_005802,3,Sci/Tech,NASA prepares to catch a falling star sample
34d80d254e17b9d53eb68297cafd8b03e03a4dd8049baef81a0543403368e73a,train_061491,train_069883,3,Sci/Tech,NASA says switches may have caused Genesis crash
35109758088f129290c37fd8f24acc31bc5f0da63da6aeab6b695d36b52a6155,train_004878,train_004913,3,Sci/Tech,Oracle moves to monthly patching schedule
38410a1dba522ea9d3ba995772e6a897d25a3e520b5041a7c52f252718a476fe,train_004300,train_005698,3,Sci/Tech,Apple Recalls PowerBook Batteries
38ea7503b3367690ddaef449285c5954b050e7de0494d886c27dc0b57866c947,train_037992,train_038058,2,Business,Bank of America bases unit in Hub
3bfcda6091f3c0ac883e435da4959b9384bde69f884a64df7e60695d3f955f0e,train_063611,train_063736,2,Business,"Kmart appoints Lewis new CEO, president"
3c3068f44cd41b5cf2d3317d40f5669cacf773f68a2d4a0ad4f73d33290fc11d,train_015799,train_016291,3,Sci/Tech,New Front: Recording of Digital Broadcasts
3c3d51141c555fe2539fc24d6bbcc44f59cba2847db963cda74fad83b64f286b,train_005067,train_005108,0,World,Japan Court: Bobby Fischer Can Be Deported
3c8783d48fc378214a8cbec57f157883e252cbfb7d220daa3824100ff62423b0,train_001235,train_002730,3,Sci/Tech,Rival Targets Apple's iTunes Customers (AP)
3e1947be690db82638ac258d1b063c8be1805eab76401265e34d28f09d7404cf,train_089590,train_089615,2,Business,"Registers ring, stores are listening"
400286b4ac1bb2813d231da33657129a32e5348a1279254b47ce065d3799d59f,train_076739,train_076998,1,Sports,AGASSI ADVANCES
409d29ab600fcf352a693aafe864f6919922202a286584a8ad2e2754c195e25b,train_085378,train_085424,2,Business,"Novell, Microsoft settle row"
41d11e05b5f65f56064392fd72a70409bb1cce03793ff27a03c243eda3302f75,train_002535,train_003386,3,Sci/Tech,Pakistan Mobile Phone Firms Vie for Pent-Up Demand
41ffe6049a19fdae55b50487610550c0fbd32ff7c32b117fd9baf4d3fbdb73a1,train_042966,train_043231,0,World,'American Taliban' Seeks Commuted Sentence
442c1834dc781549c2d863e43bf9d1174ed1dbae410dec77a25d6f4f3af1f3d6,train_106280,train_106284,3,Sci/Tech,ESPN to Launch Mobile Phone Service in Sprint Deal
44347db0a4fe488c7c3ff5c0224c06b678a05ef9208d099d718a074f1a83b699,train_005018,train_005056,0,World,Japan Court Ex-Chess Champ Fischer Can Be Deported
44548bd89999f620c336c662b17114c99d079286993286946fbd3c7e094054f3,train_019279,train_019320,1,Sports,Colorado Is Not Quite All Better
483acdb7c061c3f2c3f6ad3e43ee9a33ba5c2ca46ada7ec158bb9da4ce9d92c7,train_074862,train_114940,3,Sci/Tech,Photo: XM's portable satellite radio
4b39bdd09468858a769b3528017dc5d77ae41ce05e371c8597a5b5512207caab,train_004544,train_004550,2,Business,Google Up in Market Debut After Bumpy IPO
4b57e5ee11cb57a19c97d47ad2737bf0f8f1d86696adf9ceba7e6f3ee1640ee8,train_037389,train_037505,3,Sci/Tech,Ireland cracks down on Internet fraud
4c2ded9041313b066e9c68c8ff9ce26ec0d696341c51070d1dbbd09339c94189,train_000533,train_000537,0,World,"Phelps, Thorpe Advance in 200 Freestyle"
4e3e64e09d89229435a56a4a7ea5781e4c5ada57e49d02380484f948804999c1,train_082145,train_082405,3,Sci/Tech,Munch Museum to stay closed well into 2005
4f6a18f43adbb49c91b967b2b1ffacc006b8c18f92f4e3add7ed8713699e7976,train_107904,train_107947,2,Business,"Dollar rallies, but continued weakness expected"
4f92767cae25dc0dcc849e39bbf35492de603a5b3190c607636f511e35331657,train_011861,train_011892,3,Sci/Tech,Oracle again extends offer for PeopleSoft
